"intratherm_id","genus_species","genus","species","phylum","class","order","family","extractor","ref","original_compilation","population_id","acclim_temp","latitude","longitude","coordinates_source","genus_from_study","species_from_study","location_description","acclim_time","parameter_value","parameter_tmax_or_tmin","error_estimate","error_type","sample_size","metric_type","metric_description","ramping_rate","ramping_to_reach_st","duration_of_chronic_exposure","temp_before_pretreament_held_or_ff_for_field_fresh","timing_of_collection","elevation_of_collection","life_stage.x","notes.x","record_number","record","realm_general2","acclim_time_original","acclim_time_units","dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering","age_maturity_days_female","age_maturity_days_female_reference","age_maturity_days_male","age_maturity_days_male_reference","age_maturity.days_unknown_sex","dispersal_distance_category","logic_source_for_dispersal_distance","logic_source_for_dispersal_distance2","maximum_body_size_svl_hbl_cm","source_for_maximum_body_size","average_body_size_female","average_body_size_female_reference","average_body_size_male","average_body_size_male_reference","average_body_size_unknown_sex","season_inactive","logic_source_for_season_inactive","migratory","source_logic_for_migration_info","season_when_away_10km","season_when_away_100km","logic_source_season_when_away","data_gatherer","Home.range.size_Km2","logic.source_for_Home.range.size","lifespan_days","lifespan_days_reference","Notes","is.nocturnal","is.nocturnal_source","is_in_south","season_when_away_100km_start","season_when_away_100km_stop","season_inactive_start","season_inactive_stop","season_inactive_start2","season_inactive_stop2","experienced_var_mean","experienced_var_max","sd_cumulative","ARR","std.error","statistic","p.value","conf.low","conf.high"
10,"Acipenser brevirostrum","Acipenser","brevirostrum","Chordata","Chondrostei","Acipenseriformes","Acipenseridae",NA,"Zhang & Kieffer 2014","Comte","Acipenser brevirostrum_45.3_-66.13",10,45.3,-66.13,"","Acipenser","brevirostrum","Carter's Point Kingston New Brunswick Canada",NA,27.6,"tmax",0.35,"SD",8,"critical","LOE","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,"1460","4-6 years (IUCN Red List)","730","2-3 years (IUCN Red List)",NA,"10-100","GENETIC: suggests less dispersal than marine+ but more than freshwater or estuarine species with PLD - estimate based on that of 10-100+ intermediate group (https://doi.org/10.1023/A:1015275602748) MIGRATION: up to 200km moved to spawn (NatureServe Explorer)",NA,143,"TL male/unsexed -fishbase","50","TL male/unsexed -fishbase","50","TL male/unsexed -fishbase","Y","none","""may be inactive in winter"" but not dormant (NatureServe Explorer)","migratory","IUCN Red List","Spring-Fall","Spring-Fall","DISTANCE: up to 200km moved to spawn (IUCN Redlist) TIMING: spring and fall+ in spring spent individuals migrate downstream+ passing the rest of the population moving upstream (NatureServe Explorer) POPULATION SPECIFIC: see details on IUCN and NatureServe Explorer","Nikki","3.14-314.16","2-20km home range length depending on season+ used as diameter of circle (https://doi.org/10.1111/j.1439-0426.2009.01224.x)",24455,"32-67 years max (IUCN)",NA,NA,NA,"N",0.208,0.792,NA,NA,"","",NA,NA,NA,0.519999999999999,0.150111069989302,3.46410161513775,0.178912375022067,-1.38734198845033,2.42734198845032
90,"Ambassis ambassis","Ambassis","ambassis","Chordata","Teleostei","Perciformes","Chandidae",NA,"Rajaguru & Ramachandran 2001","Comte","Ambassis ambassis_11.49_79.76",20,11.49,79.76,"","Ambassis","ambassis","Vellar Brackish India",7,35.49,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","7","days",NA,"365","12 months (Milton+ D. A.+ & Arthington+ A. H. (1985). Reproductive strategy and growth of the Australian smelt+ Retropinna semoni (Weber)(Pisces: Retropinnidae)+ and the olive perchlet+ Ambassis nigripinnis (de Vis)(Pisces: Ambassidae)+ in Brisbane+ south-eastern Queensland. Marine and Freshwater Research+ 36(3)+ 329-341.)","365","12 months (Milton+ D. A.+ & Arthington+ A. H. (1985). Reproductive strategy and growth of the Australian smelt+ Retropinna semoni (Weber)(Pisces: Retropinnidae)+ and the olive perchlet+ Ambassis nigripinnis (de Vis)(Pisces: Ambassidae)+ in Brisbane+ south-eastern Queensland. Marine and Freshwater Research+ 36(3)+ 329-341.)","Y","unk","classified as resident species in estuaries (http://dx.doi.org/10.4314/wsa.v41i1.12)",NA,15,"TL male/unsexed -fishbase",NA,NA,NA,NA,NA,"none","no dormancy reported","non-migratory","IUCN Red List",NA,NA,NA,"Nikki","unk",NA,1095,"males 2 years+ females potentially 3 (Milton+ D. A.+ & Arthington+ A. H. (1985). Reproductive strategy and growth of the Australian smelt+ Retropinna semoni (Weber)(Pisces: Retropinnidae)+ and the olive perchlet+ Ambassis nigripinnis (de Vis)(Pisces: Ambassidae)+ in Brisbane+ south-eastern Queensland. Marine and Freshwater Research+ 36(3)+ 329-341.)",NA,NA,NA,"N",NA,NA,NA,NA,"","",3.02647977447352,4.00061554646931,3.06479449158699,0.213545816733069,0.119628531462658,1.785074297261,0.124499025049545,-0.0791746546379766,0.506266288104114
163,"Ameiurus natalis","Ameiurus","natalis","Chordata","Teleostei","Siluriformes","Ictaluridae",NA,"Spotila et al. 1979","Comte","Ameiurus natalis_42.08_-81.34",22.2,42.08,-81.34,"","Ameiurus","natalis","Lake Erie",NA,36.4,"tmax",NA,"SD",NA,"critical","LOE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,"730","AnAge","730","AnAge",NA,"unk","LARVAE: ""young fry are herded into tight schools by the male and protected until they are approximately two inches long."" (https://animaldiversity.org/accounts/Ameiurus_natalis/)",NA,60,"TL male/unsexed -fishbase","22.5","TL male/unsexed -fishbase","22.5","TL male/unsexed -fishbase","Y","none","found to move under the ice (DOI: 10.2307/1439630)","non-migratory","IUCN Red List",NA,NA,NA,"Nikki","kunk","https://animaldiversity.org/accounts/Ameiurus_natalis/",2555,"4 years avergae+ 7 years max (https://animaldiversity.org/accounts/Ameiurus_natalis/)",NA,NA,NA,"N",NA,NA,NA,NA,"","",10.5627952774456,11.3458248732383,10.5768487918828,0.560000000000002,4.26958346030302e-15,131160335711123,4.85375223321873e-15,0.559999999999948,0.560000000000056
277,"Anguilla australis","Anguilla","australis","Chordata","Teleostei","Anguilliformes","Anguillidae",NA,"Simons 1984","Comte","Anguilla australis_-37.27_174.87",12,-37.27,174.87,"","Anguilla","australis","Lower Waikato River New Zealand",7,33.4,"tmax",1,"SD",13,"critical","LOE","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","7","days",NA,"6570","18-24 years (https://fishesofaustralia.net.au/)","5110","14 years (https://fishesofaustralia.net.au/)",NA,"100+","LARVAL: larval transport duration is 7-8 months (IUCN Red List) MIGRATION: 3715 m linear distance travelled during ontogenetic migration (10.1111/j.1095-8649.1979.tb03557.x)",NA,130,"TL male/unsexed - fishbase",NA,NA,NA,NA,NA,"none","no dormancy reported","non-migratory","IUCN Red List",NA,NA,"ontogenetic migrant DISTANCE: 3000km+ (https://doi.org/10.3389/fphys.2015.00256 ) TIMING: catadromous eel+ spawn once before death+ age at spawning migration varies depending on growth rate+ occurs in late summer to early autumn (IUCN Red List)","Sarah/Nikki","0.5","of the eels recaptured in the study 81% were within 400m of initial capture site+ treated as radius (Beumer 1979) (adults)",11680,"32 years max (AnAge)",NA,NA,NA,"Y",NA,NA,NA,NA,"","",NA,NA,NA,0.2741214057508,0.00110674173007619,247.683265482299,0.00257028391499314,0.260058918738383,0.288183892763216
380,"Catostomus clarkii","Catostomus","clarkii","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Deacon et al. 1987","Comte","Catostomus clarkii_34.048927_-111.093735",10,34.048927,-111.093735,"inferred","Catostomus","clarkii","Virgin River Utha US",14,32.2,"tmax",0.64,"SD",6,"critical","LOE","0.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","14","days",NA,"730","http://explorer.natureserve.org/servlet/NatureServe?searchName=Catostomus%20clarkii","730","http://explorer.natureserve.org/servlet/NatureServe?searchName=Catostomus%20clarkii","Y","0-1","MOVEMENT: max displacement of transients of 819m (DOI: 10.1139/cjfas-2012-0334) and 1/2 population considered transient within the 200-300m+ so low site  ",NA,33,"TL male/unsexed -fishbase",NA,NA,NA,NA,NA,"none","no dormancy reported","non-migratory","IUCN Red List",NA,NA,NA,"Azenor/Nikki","0.022-0.53","168-819m maximum linear displacement between the two most distant detection locations+ used as diameter (DOI: 10.1139/cjfas-2012-0334)",3650,"8 to 10 years http://explorer.natureserve.org/servlet/NatureServe?searchName=Catostomus%20clarkii",NA,NA,NA,"N",NA,NA,NA,NA,"","",8.72408491003202,9.14260730776154,8.72463729178824,0.331333333333334,NA,NA,NA,NA,NA
388,"Catostomus commersonii","Catostomus","commersonii","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Spotila et al. 1979","Comte","Catostomus commersonii_42.08_-81.34",5,42.08,-81.34,"","Catostomus","commersonii","Lake Erie",NA,26.3,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,"1095","average 3 years (http://animaldiversity.org/accounts/Catostomus_commersoni/)","730","average 2 years (http://animaldiversity.org/accounts/Catostomus_commersoni/)",NA,"10-100","MOVEMENT: low site fidelity after spawning+ one dispersed 56km after spawning (https://animaldiversity.org/accounts/Catostomus_commersonii/) GENETIC: relatively small differences among sites separated by 100+ km - authors suggest that white sucker are mobile (https://doi.org/10.1897/02-181) MIGRATION: migrate dozens of km between spawning and adult habitat - NatureServe Explorer",NA,65,"TL male/unsexed -fishbase","40.7","TL male/unsexed -fishbase","40.7","TL male/unsexed -fishbase","Y","none","no dormancy reported","migratory","IUCN Red List","Spring-Summer",NA,"DISTANCE: dozens of km (NatureServe Explorer) TIMING: 6 weeks in spring/early summer in North (http://animaldiversity.org/accounts/Catostomus_commersoni/)","Azenor/Nikki","unk",NA,6205,"maximum of 17 years http://animaldiversity.org/accounts/Catostomus_commersoni/",NA,NA,NA,"N",NA,NA,NA,NA,"","",10.5689260867377,11.0113962555,10.5768487918828,0.18506329113924,0.0812262561907198,2.278367855644,0.0849393679674638,-0.0404569502750259,0.410583532553506
459,"Chrosomus erythrogaster","Chrosomus","erythrogaster","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Scott 1987","Comte","Chrosomus erythrogaster_36.16_-105.2",21.5,36.16,-105.2,"","Chrosomus","erythrogaster","Little Coyote Creek Colfax New Mexico US",NA,32.33,"tmax",NA,"SD",70,"critical","LOE","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,"365","http://explorer.natureserve.org","365","http://explorer.natureserve.org",NA,"0-1","MOVEMENT: signed mean movement of 13.86-88.08m+ unsigned of 104-148m (Walker+ R. H.+ Adams+ G. L.+ & Reid Adams+ S. (2013). Movement patterns of southern redbelly dace+ Chrosomus erythrogaster+ in a headwater reach of an Ozark stream. Ecology of Freshwater Fish+ 22(2)+ 216-227.)",NA,9.1,"TL male/unsexed -fishbase","5.8","TL male/unsexed -fishbase","5.8","TL male/unsexed -fishbase","Y","none","no dormancy reported","non-migratory","IUCN Red List",NA,NA,NA,"Nikki",NA,"help from Jenn - use signed or unsigned movement? population mean signed movement of 13.86-88.08m+ unsigned 104-148m (Walker+ R. H.+ Adams+ G. L.+ & Reid Adams+ S. (2013). Movement patterns of southern redbelly dace+ Chrosomus erythrogaster+ in a headwater reach of an Ozark stream. Ecology of Freshwater Fish+ 22(2)+ 216-227.)",1095,"3 years maximum - fishbase+ NatureServe Explorer",NA,NA,NA,"N",NA,NA,NA,NA,"","",8.64840746683148,9.35540127158998,8.67439552540082,0.550849390823468,0.154859038603537,3.55710196699418,0.0236473997345065,0.120891771097042,0.980807010549894
466,"Coregonus artedi","Coregonus","artedi","Chordata","Teleostei","Salmoniformes","Salmonidae",NA,"Yoder et al. 2012","Comte","Coregonus artedi_42.41_-83.98",2,42.41,-83.98,"","Coregonus","artedi","Pickerel Lake Michigan US",NA,19.8,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,"365","1-4 years (https://animaldiversity.org/accounts/Coregonus_artedi/)","365","1-4 years (https://animaldiversity.org/accounts/Coregonus_artedi/)","Y","10-100","MOVEMENT: site fidelity currently kunk (https://doi.org/10.7298/V1GS-7B37) suggests high (10-100km) larval drift (https://doi.org/10.1139/F08-068)+ usually live within a few km but can travel 82km from hatching place (https://animaldiversity.org/accounts/Coregonus_artedi/)",NA,57,"TL male/unsexed -fishbase","29.3","TL male/unsexed -fishbase","29.3","TL male/unsexed -fishbase","Y","none","no dormancy reported","migratory","IUCN Red List","Winter",NA,"DISTANCE: 82km max (https://animaldiversity.org/accounts/Coregonus_artedi/) and more than 10 (https://doi.org/10.1139/z81-219) TIMING: anadromous+ move to shallow coastal waters to spawn in winter (Nov/Dec is when spawning occurs) (https://animaldiversity.org/accounts/Coregonus_artedi/ AND https://doi.org/10.1139/z81-219)","Nikki","unk",NA,4745,"average 6-10 years+ max 13 (https://animaldiversity.org/accounts/Coregonus_artedi/)",NA,NA,NA,"N",NA,NA,NA,NA,"","",11.7002595323756,12.348379700705,11.7046358596599,0.258047767393562,0.063434443536273,4.06794405386413,0.0267980851774104,0.0561710569338215,0.459924477853302
482,"Cottus bairdii","Cottus","bairdii","Chordata","Teleostei","Scorpaeniformes","Cottidae",NA,"Walsh et al. 1997","Comte","Cottus bairdii_34.19_-84.95",10,34.19,-84.95,"","Cottus","bairdii","Etowah River Georgia US",7,29.56,"tmax",1.08,"SD",10,"critical","LOE","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","7","days",NA,"730","AnAge","730","AnAge",NA,"0-1","MOVEMENT: 180m maximum movement of adult (https://animaldiversity.org/accounts/Cottus_bairdii/) LARVAE: larvae develop in nest",NA,15,"TL male/unsexed -fishbase","8.4","TL male/unsexed -fishbase","8.4","TL male/unsexed -fishbase","Y","none","active during winter (https://doi.org/10.1139/F08-189)","non-migratory","IUCN Red List",NA,NA,NA,"Nikki","0.0000196","less than 50m (https://animaldiversity.org/accounts/Cottus_bairdii/) assumed to be diameter",730,"2 years max (fishbase)",NA,NA,NA,"N",NA,NA,NA,NA,"","",8.22169537323946,9.57617832071409,8.25222929716087,0.289,0.0332355231642288,8.6955152946426,0.0129687013653783,0.14599908553278,0.432000914467221
487,"Cottus carolinae","Cottus","carolinae","Chordata","Teleostei","Scorpaeniformes","Cottidae",NA,"Walsh et al. 1997","Comte","Cottus carolinae_34.6_-84.7",10,34.6,-84.7,"","Cottus","carolinae","Coosawattee River Georgia US",7,29.06,"tmax",0.97,"SD",15,"critical","LOE","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","7","days",NA,"730","AnAge","730","AnAge",NA,"0-1","MOVEMENT: more than 200m in capture-recapture+ fig 1(https://doi.org/10.1111/eff.12274) LARVAE: benthic nest spawners",NA,18,"TL male/unsexed -fishbase","9.5","TL male/unsexed -fishbase","9.5","TL male/unsexed -fishbase","Y","none","no dormancy reported","non-migratory","IUCN Red List",NA,NA,NA,"Nikki","0.000042","42m^2 or less (NatureServe Explorer)",1460,"4 years max (NatureServe Explorer)",NA,NA,NA,"N",NA,NA,NA,NA,"","",8.23493936868869,9.13333868549478,8.25222929716087,0.3358,0.0394192846206013,8.51867311220824,0.0135017645681953,0.166192507422399,0.505407492577601
