"genus_species","population_id","lifespan_days","season_when_away_100km_start","season_when_away_100km_stop","season_inactive_start","season_inactive_stop","latitude","longitude","realm_general2","maximum_body_size_svl_hbl_cm"
"Acipenser brevirostrum","Acipenser brevirostrum_45.3_NA","24455","0.208","0.708","none","none",45.3,-66.13,"Freshwater","143"
"Ambassis ambassis","Ambassis ambassis_-30.86_NA","1095","","","none","none",-30.86,25.14,"Freshwater","15"
"Ambassis ambassis","Ambassis ambassis_11.49_NA","1095","","","none","none",11.49,79.76,"Freshwater","15"
"Ameiurus melas","Ameiurus melas_42.08_NA","3650","","","none","none",42.08,-81.34,"Freshwater","66"
"Ameiurus melas","Ameiurus melas_39.016739_NA","3650","","","none","none",39.016739,-90.992256,"Freshwater","66"
"Ameiurus natalis","Ameiurus natalis_42.08_NA","2555","","","none","none",42.08,-81.34,"Freshwater","60"
"Ameiurus natalis","Ameiurus natalis_39.201_NA","2555","","","none","none",39.201,-92.177,"Freshwater","60"
"Anguilla australis","Anguilla australis_-37.27_NA","11680","","","none","none",-37.27,174.87,"Freshwater","130"
"Plethodon glutinosus","Plethodon glutinosus_36.95_1040","1825","","","0.458 and 0.958","0.458 and 0.958",36.95,-81.76,"Terrestrial","6.5"
"Plethodon glutinosus","Plethodon glutinosus_39.31_975","1825","","","0.458 and 0.958","0.458 and 0.958",39.31,-80.2,"Terrestrial","6.5"
"Plethodon glutinosus","Plethodon glutinosus_40.78_122","1825","","","0.458 and 0.958","0.458 and 0.958",40.78,-75.28,"Terrestrial","6.5"
"Carpiodes cyprinus","Carpiodes cyprinus_39.97_NA","4015","","","none","none",39.97,-82.81,"Freshwater","45.7"
"Carpiodes cyprinus","Carpiodes cyprinus_42.08_NA","4015","","","none","none",42.08,-81.34,"Freshwater","45.7"
"Catostomus clarkii","Catostomus clarkii_34.048927_NA","3650","","","none","none",34.048927,-111.093735,"Freshwater","33"
"Catostomus commersonii","Catostomus commersonii_42.08_NA","6205","","","none","none",42.08,-81.34,"Freshwater","65"
"Catostomus commersonii","Catostomus commersonii_39.279_NA","6205","","","none","none",39.279,-91.155,"Freshwater","65"
"Chrosomus erythrogaster","Chrosomus erythrogaster_36.16_NA","1095","","","none","none",36.16,-105.2,"Freshwater","9.1"
"Chrosomus erythrogaster","Chrosomus erythrogaster_38.189801_NA","1095","","","none","none",38.189801,-91.908238,"Freshwater","9.1"
"Coregonus artedi","Coregonus artedi_42.41_NA","4745","","","none","none",42.41,-83.98,"Freshwater","57"
"Cottus bairdii","Cottus bairdii_34.19_NA","730","","","none","none",34.19,-84.95,"Freshwater","15"
"Cottus bairdii","Cottus bairdii_42.6_NA","730","","","none","none",42.6,-78.47,"Freshwater","15"
"Cottus carolinae","Cottus carolinae_34.6_NA","1460","","","none","none",34.6,-84.7,"Freshwater","18"
"Cottus carolinae","Cottus carolinae_40.03_NA","1460","","","none","none",40.03,-76.27,"Freshwater","18"
"Couesius plumbeus","Couesius plumbeus_51.38_NA","2555","","","none","none",51.38,-121.26,"Freshwater","23"
"Couesius plumbeus","Couesius plumbeus_59.4_NA","2555","","","none","none",59.4,-133.58,"Freshwater","23"
"Couesius plumbeus","Couesius plumbeus_59.43_NA","2555","","","none","none",59.43,-126.09,"Freshwater","23"
"Ctenopharyngodon idella","Ctenopharyngodon idella_26.47_NA","7665","","","none","none",26.47,99.15,"Freshwater","150"
"Cyprinella lutrensis","Cyprinella lutrensis_33.06_NA","1095","","","none","none",33.06,-101.04,"Freshwater","9"
"Cyprinella lutrensis","Cyprinella lutrensis_33.17_NA","1095","","","none","none",33.17,-97.32,"Freshwater","9"
"Cyprinella lutrensis","Cyprinella lutrensis_34.86_NA","1095","","","none","none",34.86,-96.73,"Freshwater","9"
"Cyprinella lutrensis","Cyprinella lutrensis_35.66_NA","1095","","","none","none",35.66,-97.47,"Freshwater","9"
"Cyprinella lutrensis","Cyprinella lutrensis_37.2_NA","1095","","","none","none",37.2,-113.26,"Freshwater","9"
"Cyprinella lutrensis","Cyprinella lutrensis_37.91_NA","1095","","","none","none",37.91,-122.06,"Freshwater","9"
"Cyprinella lutrensis","Cyprinella lutrensis_32.874_NA","1095","","","none","none",32.874,-110.809,"Freshwater","9"
"Cyprinella lutrensis","Cyprinella lutrensis_33.21295_NA","1095","","","none","none",33.21295,-97.118531,"Freshwater","9"
"Cyprinella lutrensis","Cyprinella lutrensis_38.984_NA","1095","","","none","none",38.984,-92.146,"Freshwater","9"
"Cyprinella spiloptera","Cyprinella spiloptera_39.490383_NA","1825","","","none","none",39.490383,-84.325019,"Freshwater","12"
"Cyprinodon bovinus","Cyprinodon bovinus_30.89_NA","690","","","","",30.89,-102.88,"Freshwater","5.6"
"Cyprinodon nevadensis","Cyprinodon nevadensis_34.07_NA","365","","","none","none",34.07,-117.28,"Freshwater","7.8"
"Cyprinodon nevadensis","Cyprinodon nevadensis_36.93_NA","365","","","none","none",36.93,-117.31,"Freshwater","7.8"
"Cyprinus carpio","Cyprinus carpio_26.47_NA","13870","","","none","none",26.47,99.15,"Freshwater","120"
"Danio rerio","Danio rerio_1.35_NA","365","","","none","none",1.35,103.81,"Freshwater","3.8"
"Danio rerio","Danio rerio_25.67_NA","365","","","none","none",25.67,91.93,"Freshwater","3.8"
"Dorosoma cepedianum","Dorosoma cepedianum_35.96_NA","2190","","","none","none",35.96,-83.92,"Freshwater","57"
"Dorosoma cepedianum","Dorosoma cepedianum_41.65_NA","2190","","","none","none",41.65,-82.83,"Freshwater","57"
"Dorosoma cepedianum","Dorosoma cepedianum_42.08_NA","2190","","","none","none",42.08,-81.34,"Freshwater","57"
"Etheostoma blennioides","Etheostoma blennioides_42.6_NA","1825","","","none","none",42.6,-78.47,"Freshwater","17"
"Etheostoma blennioides","Etheostoma blennioides_39.72_NA","1825","","","none","none",39.72,-84.394,"Freshwater","17"
"Etheostoma caeruleum","Etheostoma caeruleum_42.6_NA","1095","","","none","none",42.6,-78.47,"Freshwater","7.7"
"Etheostoma caeruleum","Etheostoma caeruleum_39.72_NA","1095","","","none","none",39.72,-84.394,"Freshwater","7.7"
"Etheostoma caeruleum","Etheostoma caeruleum_38.189801_NA","1095","","","none","none",38.189801,-91.908238,"Freshwater","7.7"
"Etheostoma flabellare","Etheostoma flabellare_39.51_NA","1580","","","none","none",39.51,-84.65,"Freshwater","8.4"
"Etheostoma flabellare","Etheostoma flabellare_39.97_NA","1580","","","none","none",39.97,-82.81,"Freshwater","8.4"
"Etheostoma flabellare","Etheostoma flabellare_42.6_NA","1580","","","none","none",42.6,-78.47,"Freshwater","8.4"
"Etheostoma flabellare","Etheostoma flabellare_39.72_NA","1580","","","none","none",39.72,-84.394,"Freshwater","8.4"
"Etheostoma flabellare","Etheostoma flabellare_39_NA","1580","","","none","none",39,-84,"Freshwater","8.4"
"Etheostoma flabellare","Etheostoma flabellare_38.524_NA","1580","","","none","none",38.524,-92.472,"Freshwater","8.4"
"Etheostoma nigrum","Etheostoma nigrum_38.32_NA","1580","","","none","none",38.32,-92.54,"Freshwater","7.2"
"Etheostoma nigrum","Etheostoma nigrum_39.3_NA","1580","","","none","none",39.3,-105.47,"Freshwater","7.2"
"Etheostoma nigrum","Etheostoma nigrum_39.51_NA","1580","","","none","none",39.51,-84.65,"Freshwater","7.2"
"Etheostoma nigrum","Etheostoma nigrum_40.42_NA","1580","","","none","none",40.42,-104.6,"Freshwater","7.2"
"Etheostoma nigrum","Etheostoma nigrum_42.6_NA","1580","","","none","none",42.6,-78.47,"Freshwater","7.2"
"Etheostoma spectabile","Etheostoma spectabile_34.28_NA","730","","","none","none",34.28,-96.7,"Freshwater","7.2"
"Etheostoma spectabile","Etheostoma spectabile_34.61_NA","730","","","none","none",34.61,-96.63,"Freshwater","7.2"
"Etheostoma spectabile","Etheostoma spectabile_35.66_NA","730","","","none","none",35.66,-97.47,"Freshwater","7.2"
"Etheostoma spectabile","Etheostoma spectabile_48.362839_NA","730","","","none","none",48.362839,-96.164033,"Freshwater","7.2"
"Etheostoma spectabile","Etheostoma spectabile_34.454398_NA","730","","","none","none",34.454398,-96.635722,"Freshwater","7.2"
"Etheostoma spectabile","Etheostoma spectabile_38.938_NA","730","","","none","none",38.938,-92.014,"Freshwater","7.2"
"Eurycea bislineata","Eurycea bislineata_39.77_NA","kunk","","","0.958","0.958",39.77,-84.69,"Terrestrial","12.3"
"Fundulus notatus","Fundulus notatus_33.17_NA","1095","","","none","none",33.17,-97.32,"Freshwater","8"
"Fundulus notatus","Fundulus notatus_38.524_NA","1095","","","none","none",38.524,-92.472,"Freshwater","8"
"Galaxias maculatus","Galaxias maculatus_-37.27_NA","1825","0.625","0.792","none","none",-37.27,174.87,"Freshwater","19"
"Gambusia affinis","Gambusia affinis_-37.27_NA","1095","","","none","none",-37.27,174.87,"Freshwater","5.1"
"Gambusia affinis","Gambusia affinis_29.48_NA","1095","","","none","none",29.48,-81.68,"Freshwater","5.1"
"Gambusia affinis","Gambusia affinis_33_NA","1095","","","none","none",33,-109.9,"Freshwater","5.1"
"Gambusia affinis","Gambusia affinis_35.66_NA","1095","","","none","none",35.66,-97.47,"Freshwater","5.1"
"Gambusia affinis","Gambusia affinis_35.96_NA","1095","","","none","none",35.96,-83.92,"Freshwater","5.1"
"Gambusia affinis","Gambusia affinis_40.76_NA","1095","","","none","none",40.76,-111.92,"Freshwater","5.1"
"Gasterosteus aculeatus","Gasterosteus aculeatus_52.34_NA","2920","0.208","0.292","none","none",52.34,18.35,"Freshwater","11"
"Gobio gobio","Gobio gobio_52.34_NA","2920","","","none","none",52.34,18.35,"Freshwater","21"
"Gymnocharacinus bergii","Gymnocharacinus bergii_-40.93_NA","2190","","","none","none",-40.93,-66.57,"Freshwater","7.5"
"Heterandria formosa","Heterandria formosa_29.87_NA","120","","","none","none",29.87,-91.43,"Freshwater","3.6"
"Heterandria formosa","Heterandria formosa_29.97_NA","120","","","none","none",29.97,-92.87,"Freshwater","3.6"
