"genus","species","age_maturity_days_female","age_maturity_days_female_reference","age_maturity_days_male","age_maturity_days_male_reference","age_maturity.days_unknown_sex","dispersal_distance_category","logic_source_for_dispersal_distance","dispersal_distance2_category","logic_source_for_dispersal_distance2","maximum_body_size_svl_hbl_cm","source_for_maximum_body_size","average_body_size_female","average_body_size_female_reference","average_body_size_male","average_body_size_male_reference","average_body_size_unknown_sex","season_inactive","logic_source_for_season_inactive","migratory","source_logic_for_migration_info","season_when_away_10km...migratory.only.","season_when_away_100km...migratory.only.","logic_source_season_when_away","Home.range.size_Km2","logic.source_for_Home.range.size","data_gatherer","lifespan_days","lifespan_days_reference"
"Canthon","humectus","unk","","unk","","","100+","Verdú & Lobo, 2008",NA,NA,"1.7","Dunlap et al., 2015","","","","","","kunk","Ortega-Martínez et al., 2014","non-migratory","IUCN, 2020",NA,NA,"","unk","","Wilco+Piero","730","Verdú, 2011"
"Anguilla","australis","6570","Gomon & Bray, 2018","5110","Gomon & Bray, 2018","","100+","IUCN, 2020;Beumer, 1979",NA,NA,"130","Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","0.5","Beumer, 1979","Sarah/Nikki","11680","De Magalhães & Costa, 2009"
"Anguilla","dieffenbachii","11315","Doole, 2005","4380","Doole, 2005","","100+","R. M. McDowall, 2010",NA,NA,"182","Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","0.062","Chisnall & Kalish, 1993","Sarah/Nikki","18980","McEwan & Joy, 2016"
"Apogon","pacificus","unk","","unk","","","0-1","IUCN, 2020",NA,NA,"10","Froese & Pauly, 2000","","","","","","none","Froese & Pauly, 2000","unk","",NA,NA,"","unk","","Nikki","unk",""
"Chaenocephalus","aceratus","3650","M. La Mesa et al., 2004","3650","M. La Mesa et al., 2004","","100+","Damerau et al., 2014",NA,NA,"72","Froese & Pauly, 2000","","","","","","","","migratory","Reid et al., 2007","autumn","autumn","Papetti et al., 2012;Detrich et al., 2005","unk","","Nikki","7300","Saveliev et al., 2006"
"Chionodraco","rastrospinosus","1460","M. La Mesa & Ashford, 2008","1460","M. La Mesa & Ashford, 2008","","100+","Papetti et al., 2012",NA,NA,"52","Froese & Pauly, 2000;M. La Mesa & Ashford, 2008","47.9","M. La Mesa & Ashford, 2008","42.9","M. La Mesa & Ashford, 2008","","","","non-migratory","Papetti et al., 2012",NA,NA,"","unk","","Nikki","3650","Saveliev et al., 2006"
"Cirrhitichthys","oxycephalus","unk","","unk","","","100+","https://media.nature.com/original/nature-assets/ncomms/2014/141121/ncomms6575/extref/ncomms6575-s2.docx",NA,NA,"10","Froese & Pauly, 2000","","","","","","none","Froese & Pauly, 2000","non-migratory","Mora & Ospína, 2001;Grove & Lavenberg, 1997",NA,NA,"","unk","","Nikki","2920","Pixie Hawkfish (Cirrhitichthys oxycephalus), n.d."
"Culaea","inconstans","365","Eakins, 2020a","365","Eakins, 2020a","Y","1-10","Jacobus & Webb, 2005;Manion, 1977;Stewart et al., 2007",NA,NA,"8.7","Froese & Pauly, 2000","5","Froese & Pauly, 2000","5","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Froese & Pauly, 2000;Eakins, 2020a"
"Bathygobius","soporator","346","Tavolga, 1954;K. M. Peters, 1983","346","Tavolga, 1954;K. M. Peters, 1983","Y","10-100","K. M. Peters, 1983",NA,NA,"15","Froese & Pauly, 2000","","","","","","none","Froese & Pauly, 2000","non-migratory","Froese & Pauly, 2000",NA,NA,"","unk","","Nikki","1204.5","Niyonkuru et al., 2007"
"Coryphopterus","urospilus","84","Victor et al., 2010","105","Victor et al., 2010","","unk","",NA,NA,"6.5","Froese & Pauly, 2000","","","","","","none","Froese & Pauly, 2000","non-migratory","Mora & Ospína, 2001;Grove & Lavenberg, 1997",NA,NA,"","unk","","Nikki","unk",""
"Halichoeres","dispilus","unk","","unk","","","100+","Victor & Wellington, 2000",NA,NA,"25","Froese & Pauly, 2000","","","","","","none","Froese & Pauly, 2000","unk","",NA,NA,"","unk","","Nikki","1825","Snow, n.d."
